车号,Label,CollectTime
121,1,2020-12-19 01:01:51
122,1,2020-12-19 01:01:51
123,1,2020-12-19 01:01:51
124,1,2020-12-19 01:01:51
125,1,2020-12-19 01:01:51
126,1,2020-12-19 01:01:51
127,1,2020-12-19 01:01:51
128,1,2020-12-19 01:01:51
129,1,2020-12-19 01:01:51
130,1,2020-12-19 01:01:51
131,1,2020-12-19 01:01:51
132,1,2020-12-19 01:01:51
133,1,2020-12-19 01:01:51
134,1,2020-12-19 01:01:51
135,0,
136,0,
137,0,
138,0,
139,0,
140,0,
141,0,
142,0,
143,0,
144,0,
145,0,
146,0,
147,0,
148,0,
149,0,
150,0,
151,0,
152,0,
153,0,
154,0,
155,0,
156,0,
157,0,
158,0,
159,0,
160,0,
161,0,
162,0,
163,0,
164,0,
165,0,
166,0,
167,0,
168,0,
169,0,
170,0,
171,0,
172,0,
173,0,
174,0,
175,0,
176,0,
177,0,
178,0,
179,0,
180,0,
181,0,
182,0,
183,0,
184,0,
185,0,
186,0,
187,0,
188,0,
189,0,
190,0,
191,0,
192,0,
193,0,
194,0,
195,0,
196,0,
197,0,
198,0,
199,0,
200,0,
201,0,
202,0,
203,0,
204,0,
205,0,
206,0,
207,0,
208,0,
209,0,
210,0,
